# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.590
 8.8571      0.026          8.925
 8.7857      0.032         10.237
 8.7143      0.038         11.522
 8.6429      0.045         12.776
 8.5714      0.051         13.992
 8.5000      0.057         15.162
 8.4286      0.063         16.276
 8.3571      0.069         17.316
 8.2857      0.075         18.259
 8.2143      0.082         19.060
 8.1429      0.088         19.640
 8.0714      0.094         19.805
 8.0000      0.100         18.754
