# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.840
 8.8571      0.026          9.367
 8.7857      0.032         10.868
 8.7143      0.038         12.341
 8.6429      0.045         13.779
 8.5714      0.051         15.176
 8.5000      0.057         16.522
 8.4286      0.063         17.806
 8.3571      0.069         19.008
 8.2857      0.075         20.100
 8.2143      0.082         21.032
 8.1429      0.088         21.709
 8.0714      0.094         21.888
 8.0000      0.100         20.415
