# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.610
 8.8571      0.026         12.106
 8.7857      0.032         16.556
 8.7143      0.038         20.950
 8.6429      0.045         25.280
 8.5714      0.051         29.531
 8.5000      0.057         33.684
 8.4286      0.063         37.715
 8.3571      0.069         41.581
 8.2857      0.075         45.221
 8.2143      0.082         48.518
 8.1429      0.088         51.229
 8.0714      0.094         52.648
 8.0000      0.100         41.301
