# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.053
 8.8571      0.026         10.970
 8.7857      0.032         13.848
 8.7143      0.038         16.681
 8.6429      0.045         19.459
 8.5714      0.051         22.173
 8.5000      0.057         24.807
 8.4286      0.063         27.341
 8.3571      0.069         29.744
 8.2857      0.075         31.964
 8.2143      0.082         33.916
 8.1429      0.088         35.416
 8.0714      0.094         35.959
 8.0000      0.100         30.961
