# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.855
 8.8571      0.026          9.708
 8.7857      0.032         11.533
 8.7143      0.038         13.324
 8.6429      0.045         15.076
 8.5714      0.051         16.780
 8.5000      0.057         18.427
 8.4286      0.063         20.001
 8.3571      0.069         21.481
 8.2857      0.075         22.832
 8.2143      0.082         23.995
 8.1429      0.088         24.850
 8.0714      0.094         25.085
 8.0000      0.100         22.880
