# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.221
 8.8571      0.026         11.636
 8.7857      0.032         15.007
 8.7143      0.038         18.327
 8.6429      0.045         21.588
 8.5714      0.051         24.776
 8.5000      0.057         27.876
 8.4286      0.063         30.863
 8.3571      0.069         33.703
 8.2857      0.075         36.339
 8.2143      0.082         38.671
 8.1429      0.088         40.493
 8.0714      0.094         41.218
 8.0000      0.100         34.773
