# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.076
 8.8571      0.026          9.809
 8.7857      0.032         11.515
 8.7143      0.038         13.187
 8.6429      0.045         14.822
 8.5714      0.051         16.411
 8.5000      0.057         17.944
 8.4286      0.063         19.407
 8.3571      0.069         20.779
 8.2857      0.075         22.028
 8.2143      0.082         23.098
 8.1429      0.088         23.879
 8.0714      0.094         24.089
 8.0000      0.100         22.279
