# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.864
 8.8571      0.026         11.568
 8.7857      0.032         15.227
 8.7143      0.038         18.832
 8.6429      0.045         22.375
 8.5714      0.051         25.843
 8.5000      0.057         29.217
 8.4286      0.063         32.474
 8.3571      0.069         35.576
 8.2857      0.075         38.465
 8.2143      0.082         41.035
 8.1429      0.088         43.066
 8.0714      0.094         43.936
 8.0000      0.100         36.468
