# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.437
 8.8571      0.026         11.801
 8.7857      0.032         15.121
 8.7143      0.038         18.391
 8.6429      0.045         21.602
 8.5714      0.051         24.741
 8.5000      0.057         27.791
 8.4286      0.063         30.730
 8.3571      0.069         33.523
 8.2857      0.075         36.113
 8.2143      0.082         38.402
 8.1429      0.088         40.184
 8.0714      0.094         40.880
 8.0000      0.100         34.624
