# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.468
 8.8571      0.026         12.569
 8.7857      0.032         16.621
 8.7143      0.038         20.615
 8.6429      0.045         24.542
 8.5714      0.051         28.386
 8.5000      0.057         32.130
 8.4286      0.063         35.746
 8.3571      0.069         39.193
 8.2857      0.075         42.408
 8.2143      0.082         45.275
 8.1429      0.088         47.553
 8.0714      0.094         48.557
 8.0000      0.100         40.003
