# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.031
 8.8571      0.026         10.839
 8.7857      0.032         13.609
 8.7143      0.038         16.335
 8.6429      0.045         19.008
 8.5714      0.051         21.618
 8.5000      0.057         24.150
 8.4286      0.063         26.585
 8.3571      0.069         28.892
 8.2857      0.075         31.022
 8.2143      0.082         32.890
 8.1429      0.088         34.321
 8.0714      0.094         34.825
 8.0000      0.100         30.142
