# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.466
 8.8571      0.026         11.225
 8.7857      0.032         13.946
 8.7143      0.038         16.623
 8.6429      0.045         19.248
 8.5714      0.051         21.809
 8.5000      0.057         24.293
 8.4286      0.063         26.678
 8.3571      0.069         28.936
 8.2857      0.075         31.018
 8.2143      0.082         32.838
 8.1429      0.088         34.223
 8.0714      0.094         34.690
 8.0000      0.100         30.269
