# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.553
 8.8571      0.026          8.751
 8.7857      0.032          9.929
 8.7143      0.038         11.082
 8.6429      0.045         12.207
 8.5714      0.051         13.298
 8.5000      0.057         14.347
 8.4286      0.063         15.344
 8.3571      0.069         16.276
 8.2857      0.075         17.118
 8.2143      0.082         17.832
 8.1429      0.088         18.347
 8.0714      0.094         18.489
 8.0000      0.100         17.575
