# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.472
 8.8571      0.026         11.397
 8.7857      0.032         14.282
 8.7143      0.038         17.121
 8.6429      0.045         19.906
 8.5714      0.051         22.625
 8.5000      0.057         25.263
 8.4286      0.063         27.800
 8.3571      0.069         30.203
 8.2857      0.075         32.423
 8.2143      0.082         34.369
 8.1429      0.088         35.860
 8.0714      0.094         36.384
 8.0000      0.100         31.485
