# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.964
 8.8571      0.026         10.625
 8.7857      0.032         13.248
 8.7143      0.038         15.829
 8.6429      0.045         18.359
 8.5714      0.051         20.829
 8.5000      0.057         23.224
 8.4286      0.063         25.525
 8.3571      0.069         27.703
 8.2857      0.075         29.711
 8.2143      0.082         31.468
 8.1429      0.088         32.807
 8.0714      0.094         33.263
 8.0000      0.100         28.988
