# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.833
 8.8571      0.026         12.781
 8.7857      0.032         16.681
 8.7143      0.038         20.524
 8.6429      0.045         24.300
 8.5714      0.051         27.996
 8.5000      0.057         31.592
 8.4286      0.063         35.063
 8.3571      0.069         38.368
 8.2857      0.075         41.444
 8.2143      0.082         44.179
 8.1429      0.088         46.338
 8.0714      0.094         47.250
 8.0000      0.100         39.307
