# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.236
 8.8571      0.026         11.862
 8.7857      0.032         15.442
 8.7143      0.038         18.970
 8.6429      0.045         22.436
 8.5714      0.051         25.827
 8.5000      0.057         29.127
 8.4286      0.063         32.310
 8.3571      0.069         35.340
 8.2857      0.075         38.158
 8.2143      0.082         40.660
 8.1429      0.088         42.630
 8.0714      0.094         43.450
 8.0000      0.100         36.274
