# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.865
 8.8571      0.026          9.265
 8.7857      0.032         10.641
 8.7143      0.038         11.990
 8.6429      0.045         13.306
 8.5714      0.051         14.583
 8.5000      0.057         15.814
 8.4286      0.063         16.985
 8.3571      0.069         18.081
 8.2857      0.075         19.074
 8.2143      0.082         19.919
 8.1429      0.088         20.530
 8.0714      0.094         20.693
 8.0000      0.100         19.471
