# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.092
 8.8571      0.026         11.237
 8.7857      0.032         14.341
 8.7143      0.038         17.396
 8.6429      0.045         20.395
 8.5714      0.051         23.325
 8.5000      0.057         26.171
 8.4286      0.063         28.910
 8.3571      0.069         31.510
 8.2857      0.075         33.918
 8.2143      0.082         36.040
 8.1429      0.088         37.682
 8.0714      0.094         38.302
 8.0000      0.100         32.704
