# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.052
 8.8571      0.026         10.851
 8.7857      0.032         13.612
 8.7143      0.038         16.328
 8.6429      0.045         18.991
 8.5714      0.051         21.591
 8.5000      0.057         24.113
 8.4286      0.063         26.537
 8.3571      0.069         28.833
 8.2857      0.075         30.951
 8.2143      0.082         32.807
 8.1429      0.088         34.226
 8.0714      0.094         34.720
 8.0000      0.100         30.142
