# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.221
 8.8571      0.026         11.837
 8.7857      0.032         15.408
 8.7143      0.038         18.926
 8.6429      0.045         22.381
 8.5714      0.051         25.761
 8.5000      0.057         29.048
 8.4286      0.063         32.218
 8.3571      0.069         35.234
 8.2857      0.075         38.036
 8.2143      0.082         40.521
 8.1429      0.088         42.472
 8.0714      0.094         43.272
 8.0000      0.100         36.273
