# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.975
 8.8571      0.026          8.504
 8.7857      0.032         10.008
 8.7143      0.038         11.483
 8.6429      0.045         12.924
 8.5714      0.051         14.325
 8.5000      0.057         15.676
 8.4286      0.063         16.964
 8.3571      0.069         18.173
 8.2857      0.075         19.272
 8.2143      0.082         20.214
 8.1429      0.088         20.901
 8.0714      0.094         21.092
 8.0000      0.100         19.561
