# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.533
 8.8571      0.026          8.936
 8.7857      0.032         10.314
 8.7143      0.038         11.665
 8.6429      0.045         12.984
 8.5714      0.051         14.263
 8.5000      0.057         15.495
 8.4286      0.063         16.669
 8.3571      0.069         17.766
 8.2857      0.075         18.760
 8.2143      0.082         19.608
 8.1429      0.088         20.222
 8.0714      0.094         20.394
 8.0000      0.100         19.214
