# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.311
 8.8571      0.026         11.563
 8.7857      0.032         14.773
 8.7143      0.038         17.933
 8.6429      0.045         21.034
 8.5714      0.051         24.065
 8.5000      0.057         27.010
 8.4286      0.063         29.845
 8.3571      0.069         32.536
 8.2857      0.075         35.030
 8.2143      0.082         37.229
 8.1429      0.088         38.934
 8.0714      0.094         39.582
 8.0000      0.100         33.727
