# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.883
 8.8571      0.026         10.175
 8.7857      0.032         12.433
 8.7143      0.038         14.654
 8.6429      0.045         16.829
 8.5714      0.051         18.949
 8.5000      0.057         21.003
 8.4286      0.063         22.973
 8.3571      0.069         24.832
 8.2857      0.075         26.541
 8.2143      0.082         28.027
 8.1429      0.088         29.143
 8.0714      0.094         29.490
 8.0000      0.100         26.141
