# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.052
 8.8571      0.026         10.857
 8.7857      0.032         13.623
 8.7143      0.038         16.346
 8.6429      0.045         19.016
 8.5714      0.051         21.622
 8.5000      0.057         24.152
 8.4286      0.063         26.584
 8.3571      0.069         28.887
 8.2857      0.075         31.014
 8.2143      0.082         32.879
 8.1429      0.088         34.307
 8.0714      0.094         34.809
 8.0000      0.100         30.142
