# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.072
 8.8571      0.026         10.857
 8.7857      0.032         13.604
 8.7143      0.038         16.308
 8.6429      0.045         18.959
 8.5714      0.051         21.548
 8.5000      0.057         24.060
 8.4286      0.063         26.475
 8.3571      0.069         28.763
 8.2857      0.075         30.877
 8.2143      0.082         32.730
 8.1429      0.088         34.149
 8.0714      0.094         34.648
 8.0000      0.100         29.985
