# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.908
 8.8571      0.026         13.081
 8.7857      0.032         17.204
 8.7143      0.038         21.268
 8.6429      0.045         25.263
 8.5714      0.051         29.174
 8.5000      0.057         32.982
 8.4286      0.063         36.659
 8.3571      0.069         40.164
 8.2857      0.075         43.431
 8.2143      0.082         46.343
 8.1429      0.088         48.653
 8.0714      0.094         49.660
 8.0000      0.100         41.007
