# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.815
 8.8571      0.026          9.183
 8.7857      0.032         10.527
 8.7143      0.038         11.844
 8.6429      0.045         13.130
 8.5714      0.051         14.377
 8.5000      0.057         15.579
 8.4286      0.063         16.722
 8.3571      0.069         17.791
 8.2857      0.075         18.760
 8.2143      0.082         19.584
 8.1429      0.088         20.179
 8.0714      0.094         20.338
 8.0000      0.100         19.167
