# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.842
 8.8571      0.026         11.205
 8.7857      0.032         14.526
 8.7143      0.038         17.797
 8.6429      0.045         21.009
 8.5714      0.051         24.151
 8.5000      0.057         27.206
 8.4286      0.063         30.152
 8.3571      0.069         32.953
 8.2857      0.075         35.554
 8.2143      0.082         37.859
 8.1429      0.088         39.664
 8.0714      0.094         40.395
 8.0000      0.100         33.960
