# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.039
 8.8571      0.026         10.883
 8.7857      0.032         13.687
 8.7143      0.038         16.445
 8.6429      0.045         19.148
 8.5714      0.051         21.785
 8.5000      0.057         24.342
 8.4286      0.063         26.798
 8.3571      0.069         29.121
 8.2857      0.075         31.261
 8.2143      0.082         33.133
 8.1429      0.088         34.559
 8.0714      0.094         35.048
 8.0000      0.100         30.634
