# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.755
 8.8571      0.026          9.322
 8.7857      0.032         10.864
 8.7143      0.038         12.376
 8.6429      0.045         13.853
 8.5714      0.051         15.288
 8.5000      0.057         16.672
 8.4286      0.063         17.993
 8.3571      0.069         19.230
 8.2857      0.075         20.355
 8.2143      0.082         21.317
 8.1429      0.088         22.016
 8.0714      0.094         22.201
 8.0000      0.100         20.623
