# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.883
 8.8571      0.026         10.446
 8.7857      0.032         12.973
 8.7143      0.038         15.458
 8.6429      0.045         17.893
 8.5714      0.051         20.270
 8.5000      0.057         22.573
 8.4286      0.063         24.785
 8.3571      0.069         26.876
 8.2857      0.075         28.803
 8.2143      0.082         30.485
 8.1429      0.088         31.760
 8.0714      0.094         32.184
 8.0000      0.100         28.214
