# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.337
 8.8571      0.026         11.475
 8.7857      0.032         12.589
 8.7143      0.038         13.678
 8.6429      0.045         14.736
 8.5714      0.051         15.758
 8.5000      0.057         16.738
 8.4286      0.063         17.665
 8.3571      0.069         18.527
 8.2857      0.075         19.305
 8.2143      0.082         19.967
 8.1429      0.088         20.461
 8.0714      0.094         20.683
 8.0000      0.100         20.361
