# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.791
 8.8571      0.026         14.206
 8.7857      0.032         17.569
 8.7143      0.038         20.873
 8.6429      0.045         24.106
 8.5714      0.051         27.256
 8.5000      0.057         30.302
 8.4286      0.063         33.220
 8.3571      0.069         35.970
 8.2857      0.075         38.491
 8.2143      0.082         40.677
 8.1429      0.088         42.315
 8.0714      0.094         42.833
 8.0000      0.100         38.440
