# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.980
 8.8571      0.026         10.999
 8.7857      0.032         13.979
 8.7143      0.038         16.912
 8.6429      0.045         19.790
 8.5714      0.051         22.602
 8.5000      0.057         25.333
 8.4286      0.063         27.962
 8.3571      0.069         30.455
 8.2857      0.075         32.763
 8.2143      0.082         34.796
 8.1429      0.088         36.366
 8.0714      0.094         36.950
 8.0000      0.100         31.628
