# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.343
 8.8571      0.026         14.194
 8.7857      0.032         17.995
 8.7143      0.038         21.736
 8.6429      0.045         25.408
 8.5714      0.051         28.996
 8.5000      0.057         32.481
 8.4286      0.063         35.836
 8.3571      0.069         39.019
 8.2857      0.075         41.966
 8.2143      0.082         44.563
 8.1429      0.088         46.569
 8.0714      0.094         47.318
 8.0000      0.100         40.451
