# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.032
 8.8571      0.026         10.767
 8.7857      0.032         13.464
 8.7143      0.038         16.118
 8.6429      0.045         18.720
 8.5714      0.051         21.260
 8.5000      0.057         23.724
 8.4286      0.063         26.092
 8.3571      0.069         28.334
 8.2857      0.075         30.403
 8.2143      0.082         32.215
 8.1429      0.088         33.599
 8.0714      0.094         34.077
 8.0000      0.100         29.607
