# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.742
 8.8571      0.026         12.358
 8.7857      0.032         15.929
 8.7143      0.038         19.447
 8.6429      0.045         22.903
 8.5714      0.051         26.285
 8.5000      0.057         29.573
 8.4286      0.063         32.745
 8.3571      0.069         35.763
 8.2857      0.075         38.568
 8.2143      0.082         41.056
 8.1429      0.088         43.008
 8.0714      0.094         43.804
 8.0000      0.100         36.717
