# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.642
 8.8571      0.026          9.090
 8.7857      0.032         10.513
 8.7143      0.038         11.908
 8.6429      0.045         13.270
 8.5714      0.051         14.593
 8.5000      0.057         15.867
 8.4286      0.063         17.082
 8.3571      0.069         18.220
 8.2857      0.075         19.252
 8.2143      0.082         20.133
 8.1429      0.088         20.771
 8.0714      0.094         20.939
 8.0000      0.100         19.581
