# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          9.864
 8.8571      0.026         11.114
 8.7857      0.032         12.341
 8.7143      0.038         13.541
 8.6429      0.045         14.709
 8.5714      0.051         15.840
 8.5000      0.057         16.925
 8.4286      0.063         17.955
 8.3571      0.069         18.913
 8.2857      0.075         19.776
 8.2143      0.082         20.506
 8.1429      0.088         21.033
 8.0714      0.094         21.202
 8.0000      0.100         20.508
