# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.726
 8.8571      0.026          9.128
 8.7857      0.032         10.506
 8.7143      0.038         11.856
 8.6429      0.045         13.174
 8.5714      0.051         14.454
 8.5000      0.057         15.686
 8.4286      0.063         16.860
 8.3571      0.069         17.958
 8.2857      0.075         18.953
 8.2143      0.082         19.801
 8.1429      0.088         20.414
 8.0714      0.094         20.578
 8.0000      0.100         19.336
