# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.850
 8.8571      0.026         10.213
 8.7857      0.032         12.543
 8.7143      0.038         14.836
 8.6429      0.045         17.083
 8.5714      0.051         19.276
 8.5000      0.057         21.402
 8.4286      0.063         23.445
 8.3571      0.069         25.377
 8.2857      0.075         27.157
 8.2143      0.082         28.711
 8.1429      0.088         29.890
 8.0714      0.094         30.275
 8.0000      0.100         26.495
