# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.600
 8.8571      0.026         13.100
 8.7857      0.032         17.547
 8.7143      0.038         21.932
 8.6429      0.045         26.245
 8.5714      0.051         30.470
 8.5000      0.057         34.588
 8.4286      0.063         38.568
 8.3571      0.069         42.368
 8.2857      0.075         45.918
 8.2143      0.082         49.095
 8.1429      0.088         51.639
 8.0714      0.094         52.808
 8.0000      0.100         43.039
