# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.575
 8.8571      0.026         10.048
 8.7857      0.032         11.496
 8.7143      0.038         12.914
 8.6429      0.045         14.297
 8.5714      0.051         15.639
 8.5000      0.057         16.930
 8.4286      0.063         18.158
 8.3571      0.069         19.305
 8.2857      0.075         20.344
 8.2143      0.082         21.227
 8.1429      0.088         21.865
 8.0714      0.094         22.046
 8.0000      0.100         20.901
