# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.833
 8.8571      0.026          9.680
 8.7857      0.032         12.502
 8.7143      0.038         15.292
 8.6429      0.045         18.047
 8.5714      0.051         20.757
 8.5000      0.057         23.412
 8.4286      0.063         25.997
 8.3571      0.069         28.488
 8.2857      0.075         30.848
 8.2143      0.082         33.007
 8.1429      0.088         34.819
 8.0714      0.094         35.847
 8.0000      0.100         27.675
