# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.815
 8.8571      0.026          9.114
 8.7857      0.032         10.390
 8.7143      0.038         11.640
 8.6429      0.045         12.859
 8.5714      0.051         14.042
 8.5000      0.057         15.181
 8.4286      0.063         16.263
 8.3571      0.069         17.275
 8.2857      0.075         18.191
 8.2143      0.082         18.968
 8.1429      0.088         19.529
 8.0714      0.094         19.682
 8.0000      0.100         18.642
