# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          6.091
 8.8571      0.026          7.834
 8.7857      0.032          9.547
 8.7143      0.038         11.227
 8.6429      0.045         12.867
 8.5714      0.051         14.459
 8.5000      0.057         15.995
 8.4286      0.063         17.460
 8.3571      0.069         18.834
 8.2857      0.075         20.086
 8.2143      0.082         21.163
 8.1429      0.088         21.965
 8.0714      0.094         22.240
 8.0000      0.100         20.797
