# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.859
 8.8571      0.026         10.243
 8.7857      0.032         12.593
 8.7143      0.038         14.903
 8.6429      0.045         17.166
 8.5714      0.051         19.372
 8.5000      0.057         21.510
 8.4286      0.063         23.561
 8.3571      0.069         25.498
 8.2857      0.075         27.279
 8.2143      0.082         28.829
 8.1429      0.088         29.997
 8.0714      0.094         30.368
 8.0000      0.100         26.845
