# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.653
 8.8571      0.026         10.421
 8.7857      0.032         13.152
 8.7143      0.038         15.839
 8.6429      0.045         18.475
 8.5714      0.051         21.049
 8.5000      0.057         23.547
 8.4286      0.063         25.949
 8.3571      0.069         28.226
 8.2857      0.075         30.330
 8.2143      0.082         32.177
 8.1429      0.088         33.596
 8.0714      0.094         34.105
 8.0000      0.100         29.428
