# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020         10.791
 8.8571      0.026         14.241
 8.7857      0.032         17.639
 8.7143      0.038         20.976
 8.6429      0.045         24.242
 8.5714      0.051         27.423
 8.5000      0.057         30.500
 8.4286      0.063         33.446
 8.3571      0.069         36.222
 8.2857      0.075         38.767
 8.2143      0.082         40.973
 8.1429      0.088         42.626
 8.0714      0.094         43.151
 8.0000      0.100         38.779
