# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.799
 8.8571      0.026          9.866
 8.7857      0.032         11.901
 8.7143      0.038         13.901
 8.6429      0.045         15.858
 8.5714      0.051         17.764
 8.5000      0.057         19.607
 8.4286      0.063         21.372
 8.3571      0.069         23.034
 8.2857      0.075         24.556
 8.2143      0.082         25.872
 8.1429      0.088         26.849
 8.0714      0.094         27.134
 8.0000      0.100         24.438
