# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.549
 8.8571      0.026          8.530
 8.7857      0.032          9.493
 8.7143      0.038         10.434
 8.6429      0.045         11.350
 8.5714      0.051         12.236
 8.5000      0.057         13.086
 8.4286      0.063         13.893
 8.3571      0.069         14.643
 8.2857      0.075         15.320
 8.2143      0.082         15.893
 8.1429      0.088         16.311
 8.0714      0.094         16.461
 8.0000      0.100         15.990
