# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.233
 8.8571      0.026          8.466
 8.7857      0.032          9.677
 8.7143      0.038         10.863
 8.6429      0.045         12.020
 8.5714      0.051         13.142
 8.5000      0.057         14.222
 8.4286      0.063         15.248
 8.3571      0.069         16.207
 8.2857      0.075         17.075
 8.2143      0.082         17.813
 8.1429      0.088         18.346
 8.0714      0.094         18.500
 8.0000      0.100         17.575
