# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.070
 8.8571      0.026         11.006
 8.7857      0.032         13.903
 8.7143      0.038         16.753
 8.6429      0.045         19.550
 8.5714      0.051         22.282
 8.5000      0.057         24.934
 8.4286      0.063         27.484
 8.3571      0.069         29.903
 8.2857      0.075         32.139
 8.2143      0.082         34.105
 8.1429      0.088         35.617
 8.0714      0.094         36.165
 8.0000      0.100         31.119
