# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.296
 8.8571      0.026         10.030
 8.7857      0.032         12.725
 8.7143      0.038         15.376
 8.6429      0.045         17.976
 8.5714      0.051         20.512
 8.5000      0.057         22.972
 8.4286      0.063         25.335
 8.3571      0.069         27.572
 8.2857      0.075         29.635
 8.2143      0.082         31.442
 8.1429      0.088         32.822
 8.0714      0.094         33.309
 8.0000      0.100         28.996
