# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.004
 8.8571      0.026         10.559
 8.7857      0.032         13.078
 8.7143      0.038         15.553
 8.6429      0.045         17.978
 8.5714      0.051         20.341
 8.5000      0.057         22.630
 8.4286      0.063         24.825
 8.3571      0.069         26.896
 8.2857      0.075         28.800
 8.2143      0.082         30.456
 8.1429      0.088         31.704
 8.0714      0.094         32.104
 8.0000      0.100         28.474
