# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.964
 8.8571      0.026         10.596
 8.7857      0.032         13.189
 8.7143      0.038         15.739
 8.6429      0.045         18.237
 8.5714      0.051         20.672
 8.5000      0.057         23.032
 8.4286      0.063         25.295
 8.3571      0.069         27.433
 8.2857      0.075         29.400
 8.2143      0.082         31.114
 8.1429      0.088         32.409
 8.0714      0.094         32.833
 8.0000      0.100         28.988
