# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.060
 8.8571      0.026         11.073
 8.7857      0.032         14.047
 8.7143      0.038         16.974
 8.6429      0.045         19.847
 8.5714      0.051         22.654
 8.5000      0.057         25.380
 8.4286      0.063         28.004
 8.3571      0.069         30.494
 8.2857      0.075         32.800
 8.2143      0.082         34.830
 8.1429      0.088         36.400
 8.0714      0.094         36.984
 8.0000      0.100         31.628
