# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.148
 8.8571      0.026         12.559
 8.7857      0.032         16.921
 8.7143      0.038         21.227
 8.6429      0.045         25.465
 8.5714      0.051         29.621
 8.5000      0.057         33.677
 8.4286      0.063         37.605
 8.3571      0.069         41.364
 8.2857      0.075         44.889
 8.2143      0.082         48.062
 8.1429      0.088         50.636
 8.0714      0.094         51.896
 8.0000      0.100         41.535
