# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.542
 8.8571      0.026         12.049
 8.7857      0.032         16.509
 8.7143      0.038         20.913
 8.6429      0.045         25.253
 8.5714      0.051         29.515
 8.5000      0.057         33.679
 8.4286      0.063         37.720
 8.3571      0.069         41.597
 8.2857      0.075         45.247
 8.2143      0.082         48.554
 8.1429      0.088         51.276
 8.0714      0.094         52.705
 8.0000      0.100         41.301
