# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.641
 8.8571      0.026         10.417
 8.7857      0.032         13.157
 8.7143      0.038         15.852
 8.6429      0.045         18.497
 8.5714      0.051         21.079
 8.5000      0.057         23.586
 8.4286      0.063         25.996
 8.3571      0.069         28.281
 8.2857      0.075         30.392
 8.2143      0.082         32.246
 8.1429      0.088         33.671
 8.0714      0.094         34.183
 8.0000      0.100         29.478
