# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          7.720
 8.8571      0.026          9.153
 8.7857      0.032         10.560
 8.7143      0.038         11.940
 8.6429      0.045         13.287
 8.5714      0.051         14.595
 8.5000      0.057         15.855
 8.4286      0.063         17.055
 8.3571      0.069         18.177
 8.2857      0.075         19.196
 8.2143      0.082         20.064
 8.1429      0.088         20.692
 8.0714      0.094         20.861
 8.0000      0.100         19.581
