# z(km)  IWC(g/m3)  r_eff(micron)
 9.0000      0.000          0.000
 8.9286      0.020          8.350
 8.8571      0.026         12.118
 8.7857      0.032         15.838
 8.7143      0.038         19.502
 8.6429      0.045         23.099
 8.5714      0.051         26.617
 8.5000      0.057         30.036
 8.4286      0.063         33.332
 8.3571      0.069         36.465
 8.2857      0.075         39.374
 8.2143      0.082         41.950
 8.1429      0.088         43.965
 8.0714      0.094         44.781
 8.0000      0.100         37.717
